jfreechart-1,Astor-jMutRepair,0:02:14,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-1,Astor-jgenprog,0:04:36,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-1,Astor-jKali,0:01:44,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-1,Astor-Cardumen,0:01:53,RepairStatus.SUCCESS,"April 15, 2020"
jfreechart-5,Astor-jMutRepair,0:00:12,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-5,Astor-Cardumen,0:01:10,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-5,Astor-jKali,0:20:31,RepairStatus.UNKNOWN,"April 15, 2020"
jfreechart-5,Astor-jgenprog,0:17:37,RepairStatus.UNKNOWN,"April 15, 2020"
aclang-2,Astor-jgenprog,0:39:58,RepairStatus.UNKNOWN,"April 20, 2020"
aclang-2,Astor-jKali,0:02:02,RepairStatus.UNKNOWN,"April 20, 2020"
aclang-2,Astor-jMutRepair,0:02:11,RepairStatus.UNKNOWN,"April 20, 2020"
aclang-2,Astor-Cardumen,timeout,RepairStatus.UNKNOWN,"April 20, 2020"
asterisk-java-194,Astor-jgenprog,0:38:59,RepairStatus.UNKNOWN,"April 21, 2020"
asterisk-java-194,Astor-jKali,0:00:50,RepairStatus.UNKNOWN,"April 21, 2020"
asterisk-java-194,Astor-Cardumen,0:02:45,RepairStatus.UNKNOWN,"April 21, 2020"
asterisk-java-194,Astor-jMutRepair,0:00:40,RepairStatus.UNKNOWN,"April 21, 2020"
closure-1,Astor-Cardumen,0:00:15,RepairStatus.UNKNOWN,"April 21, 2020"
closure-1,Astor-jKali,0:00:13,RepairStatus.UNKNOWN,"April 21, 2020"
closure-1,Astor-jgenprog,0:00:12,RepairStatus.UNKNOWN,"April 21, 2020"
closure-1,Astor-jMutRepair,0:00:13,RepairStatus.UNKNOWN,"April 21, 2020"
Bears-104,Astor-Cardumen,0:00:16,RepairStatus.UNKNOWN,"April 17, 2020"
Bears-104,Astor-jgenprog,0:00:17,RepairStatus.UNKNOWN,"April 17, 2020"
